Comment,Designator,Footprint,LCSC
"680","R23,R24","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"4k7","R25","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"150k","R26","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"220k","R29,R36,R37","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"15/5W","R3,R5","Resistor_THT:R_Axial_Power_L25.0mm_W9.0mm_P7.62mm_Vertical",""
"100k","R30,R31,R32,R33,R34","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"1k","R4,R21,R22,R28,R35","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"10k","R27,R38,R39","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"56k","R40","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"100","R6","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"Transformer_1P_1S","T1","Userlibrary:Transformer_Block_EI42_VC-05VA_1xSec",""
"L_Current_Transformer","T2","Transformer_THT:Transformer_Toroid_Horizontal_D14.0mm_Amidon-T50",""
"Half_Bridge_Transformer","T3","Userlibrary:ETD44_18Pin_Horizontal_EPCOS-B663661018T",""
"LM7815ACT","U1","Package_TO_SOT_THT:TO-220F-3_Vertical",""
"CNY75G","U2","Package_DIP:DIP-6_W7.62mm_LongPads",""
"LM7815ACT","U3","Package_TO_SOT_THT:TO-220-3_Vertical",""
"LM7915CT","U4","Package_TO_SOT_THT:TO-220-3_Vertical",""
